epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7411.63,1.1585,0.59266,0.89741,0.96204,0.95097,0.98795,0.7213,1.00701,0.52255,0.84494,0.005842,0.005842,0.005842
44,7579.46,1.16,0.59265,0.89792,0.95858,0.94797,0.98519,0.72072,1.00811,0.54262,0.84673,0.005743,0.005743,0.005743
45,7747.78,1.14844,0.58652,0.89523,0.95348,0.9029,0.96423,0.68972,1.0122,0.97773,0.84385,0.005644,0.005644,0.005644
46,7915.79,1.14764,0.58987,0.89164,0.96083,0.95746,0.98905,0.72234,1.00394,0.52369,0.84571,0.005545,0.005545,0.005545
47,8084.1,1.14713,0.58178,0.89671,0.95739,0.94764,0.98373,0.70045,1.00986,0.54996,0.8462,0.005446,0.005446,0.005446
48,8251.99,1.14125,0.58307,0.89281,0.9686,0.94874,0.98955,0.73355,0.9874,0.51283,0.84015,0.005347,0.005347,0.005347
49,8420.16,1.1466,0.58287,0.89638,0.96114,0.96175,0.98926,0.73163,0.98442,0.5081,0.83814,0.005248,0.005248,0.005248
50,8588.22,1.13675,0.57604,0.89232,0.96235,0.96036,0.99049,0.73204,0.98488,0.50748,0.83731,0.005149,0.005149,0.005149
51,8756.13,1.13931,0.58176,0.88999,0.95138,0.96284,0.98825,0.72089,1.03084,0.51839,0.84735,0.00505,0.00505,0.00505
52,8924.23,1.14454,0.57933,0.89354,0.96188,0.95063,0.9883,0.72399,1.00965,0.5168,0.84412,0.004951,0.004951,0.004951
53,9092.18,1.14149,0.5763,0.89014,0.96871,0.95167,0.98983,0.72884,0.99197,0.50972,0.83994,0.004852,0.004852,0.004852
54,9260.39,1.13159,0.57181,0.89215,0.95542,0.96331,0.98934,0.72856,1.00081,0.511,0.84131,0.004753,0.004753,0.004753
55,9428.35,1.13334,0.57666,0.8887,0.96087,0.96115,0.99016,0.72775,1.01468,0.5106,0.84484,0.004654,0.004654,0.004654
56,9596.48,1.12873,0.56889,0.89129,0.96812,0.95613,0.99004,0.73029,0.98846,0.50462,0.83783,0.004555,0.004555,0.004555
57,9764.71,1.12812,0.56413,0.89131,0.97063,0.95793,0.9904,0.7213,0.96046,0.49324,0.83259,0.004456,0.004456,0.004456
58,9932.29,1.12779,0.56696,0.88987,0.95955,0.96662,0.99063,0.74112,0.95356,0.4897,0.83172,0.004357,0.004357,0.004357
59,10100.2,1.12177,0.57134,0.88711,0.96676,0.96314,0.99111,0.74058,0.96128,0.49644,0.83409,0.004258,0.004258,0.004258
60,10268.2,1.12289,0.56623,0.88665,0.96703,0.96606,0.99154,0.73601,0.97519,0.49438,0.83537,0.004159,0.004159,0.004159
61,10436.2,1.11876,0.55908,0.88619,0.96434,0.96123,0.99074,0.73991,0.96832,0.49695,0.83614,0.00406,0.00406,0.00406
62,10603.9,1.11077,0.55629,0.88767,0.95874,0.96732,0.99072,0.74104,0.96639,0.49295,0.83415,0.003961,0.003961,0.003961
63,10772.1,1.12717,0.56289,0.88985,0.96691,0.96279,0.99065,0.73529,0.97144,0.49331,0.83515,0.003862,0.003862,0.003862
64,10940.1,1.10249,0.55561,0.88119,0.96708,0.9614,0.99033,0.72802,1.00117,0.5024,0.8414,0.003763,0.003763,0.003763
65,11107.5,1.11238,0.54941,0.88644,0.96396,0.9621,0.9898,0.73421,0.98345,0.49685,0.83735,0.003664,0.003664,0.003664
66,11275.6,1.10912,0.55941,0.88264,0.96188,0.9625,0.98996,0.73656,0.97969,0.49705,0.83698,0.003565,0.003565,0.003565
67,11443.4,1.10566,0.55002,0.88408,0.96691,0.96591,0.99082,0.74214,0.9691,0.48917,0.83306,0.003466,0.003466,0.003466
68,11611.3,1.10947,0.55205,0.88656,0.96432,0.96603,0.99019,0.73889,0.9766,0.49461,0.83501,0.003367,0.003367,0.003367
69,11779.3,1.10388,0.5496,0.88215,0.9656,0.9614,0.9902,0.73558,0.98371,0.4928,0.83623,0.003268,0.003268,0.003268
70,11947.2,1.10123,0.54954,0.87965,0.96778,0.96453,0.99048,0.73894,0.97138,0.48802,0.83304,0.003169,0.003169,0.003169
71,12115.1,1.10848,0.55132,0.8808,0.9626,0.9661,0.99043,0.73607,0.9884,0.49466,0.83708,0.00307,0.00307,0.00307
72,12283,1.10519,0.55167,0.88235,0.97176,0.96163,0.99097,0.73936,0.97877,0.49121,0.83595,0.002971,0.002971,0.002971
73,12450.9,1.09471,0.54279,0.88201,0.96565,0.96449,0.99103,0.74424,0.96262,0.48546,0.83277,0.002872,0.002872,0.002872
74,12619.1,1.09683,0.54398,0.88129,0.96732,0.96678,0.99075,0.74534,0.95927,0.48406,0.8322,0.002773,0.002773,0.002773
75,12787,1.09651,0.53919,0.8825,0.96526,0.96732,0.99087,0.74839,0.9483,0.48074,0.82976,0.002674,0.002674,0.002674
76,12954.8,1.08872,0.53568,0.87542,0.96511,0.9703,0.99121,0.74587,0.94875,0.48001,0.82879,0.002575,0.002575,0.002575
77,13122.7,1.09424,0.53945,0.88131,0.96696,0.96946,0.99126,0.74309,0.96136,0.48365,0.8308,0.002476,0.002476,0.002476
78,13290.6,1.07296,0.53056,0.87602,0.9673,0.96947,0.99144,0.74837,0.95033,0.47877,0.82838,0.002377,0.002377,0.002377
79,13458.8,1.0767,0.5257,0.87737,0.96316,0.97218,0.99136,0.74688,0.95627,0.47939,0.82871,0.002278,0.002278,0.002278
80,13627,1.0743,0.52548,0.87818,0.96493,0.9694,0.99121,0.74656,0.95537,0.48047,0.82921,0.002179,0.002179,0.002179
81,13795.3,1.0722,0.52638,0.87414,0.96323,0.97334,0.9912,0.74655,0.95303,0.48075,0.82763,0.00208,0.00208,0.00208
82,13963.6,1.06788,0.52877,0.87374,0.96895,0.96488,0.99079,0.74344,0.96382,0.48405,0.83038,0.001981,0.001981,0.001981
83,14138.6,1.07308,0.52095,0.87574,0.96202,0.97018,0.99083,0.74266,0.96667,0.48411,0.83119,0.001882,0.001882,0.001882
84,14316,1.07035,0.52402,0.87629,0.96577,0.96867,0.9912,0.74584,0.96469,0.48248,0.8306,0.001783,0.001783,0.001783
85,14488.1,1.07419,0.52111,0.87724,0.96519,0.96975,0.99133,0.74389,0.96647,0.48137,0.83103,0.001684,0.001684,0.001684
86,14657.4,1.06046,0.51918,0.87371,0.96574,0.97046,0.99184,0.74433,0.96313,0.47929,0.82989,0.001585,0.001585,0.001585
87,14825.6,1.07034,0.52026,0.87662,0.96408,0.97353,0.99196,0.74887,0.95181,0.47631,0.82672,0.001486,0.001486,0.001486
88,14993.6,1.06427,0.51895,0.87501,0.96264,0.97949,0.99219,0.75061,0.94967,0.47576,0.82627,0.001387,0.001387,0.001387
89,15162,1.06441,0.51716,0.8768,0.96268,0.97759,0.99218,0.75202,0.94191,0.47369,0.82521,0.001288,0.001288,0.001288
90,15330.2,1.06069,0.51378,0.87093,0.96485,0.97352,0.99209,0.75451,0.93827,0.47225,0.82436,0.001189,0.001189,0.001189
91,15534.5,1.03254,0.49593,0.88425,0.96336,0.97469,0.99198,0.75462,0.93695,0.47445,0.82428,0.00109,0.00109,0.00109
92,15702.2,1.0203,0.48869,0.87804,0.96674,0.9701,0.99186,0.75307,0.93976,0.47646,0.82451,0.000991,0.000991,0.000991
93,15870.1,1.01637,0.48996,0.8792,0.96449,0.97386,0.99195,0.7534,0.93372,0.47276,0.82301,0.000892,0.000892,0.000892
94,16038.1,1.02284,0.48537,0.88188,0.96311,0.97522,0.99199,0.75526,0.9317,0.4732,0.82202,0.000793,0.000793,0.000793
95,16205.8,1.00502,0.48331,0.87975,0.96407,0.97587,0.99202,0.75601,0.92871,0.47126,0.82161,0.000694,0.000694,0.000694
96,16373.2,1.00819,0.47978,0.87987,0.96402,0.97599,0.99216,0.75733,0.92416,0.46978,0.82087,0.000595,0.000595,0.000595
97,16540.9,1.00631,0.47799,0.87707,0.96443,0.97677,0.99222,0.75776,0.92558,0.47032,0.82102,0.000496,0.000496,0.000496
98,16708.4,1.0038,0.47873,0.87847,0.96574,0.97674,0.99229,0.75853,0.92268,0.46934,0.82054,0.000397,0.000397,0.000397
99,16875.9,0.99665,0.47397,0.878,0.96599,0.97676,0.99234,0.75895,0.92172,0.46886,0.82008,0.000298,0.000298,0.000298
100,17043.7,1.00167,0.47251,0.8767,0.96456,0.97806,0.99231,0.75966,0.92168,0.46887,0.81985,0.000199,0.000199,0.000199
